idiom	class	section	subsection	head group>head	class>section>subsection>head group>head	#	semantic-type	definition	citation	source
У (в) натурі	abstract relations	existence		being, in the abstract	abstract relations>existence>being, in the abstract	1	фразеологізоване словосполучення	у справжньому вигляді, в дійсності	Мама дивиться на хмарку, віддзеркалену в застиглій поверхні води, потім скидає очима вгору і дивиться на хмарку в натурі	Юрій Смолич, II, 1958, 12
Діалектичний матеріалізм	abstract relations	existence		being, in the abstract	abstract relations>existence>being, in the abstract	1	фразеологізоване словосполучення	філософія марксизму-ленінізму, що органічно поєднує матеріалістичне вирішення основного питання філософії з діалектикою; наука про найбільш загальні закони буття, розвитку явищ об'єктивної дійсності і процесу пізнання; науковий світогляд і революційний метод пізнання і перетворення дійсності	Діалектичний матеріалізм як єдина справді наукова філософія спирається на успіхи всієї сучасної науки	Комуніст України, 3, 1962, 60
Ні (ані) гич	abstract relations	existence	being, in the abstract	inexistence	abstract relations>existence>being, in the abstract>inexistence	2	ідіома	нічого, ніскільки	[Зінька:] Жалібниць багато, та допомоги ані гич!	Марко Кропивницький, II, 1958, 20
Ні шерстини	abstract relations	existence	being, in the abstract	inexistence	abstract relations>existence>being, in the abstract>inexistence	2	ідіома	ніякої худоби (у 1 знач.), жодної худобини	За чумаком добре жити, За чумаком є що їсти, є що й пити.. Нічим борщу посолити. На оборі ні шерстини	Українські народні ліричні пісні, 1958, 526
Нехай (хай) йому [лихий] прасунок!	abstract relations	existence	being, in the abstract	inexistence	abstract relations>existence>being, in the abstract>inexistence	2	фраз. вираз	бодай минуло, згинуло що-небудь!; хай пропаде, згине хтось, щось!	Хай йому прасунок!	Номис, 1864, № 5123
Дірка з бублика	abstract relations	existence	being, in the abstract	inexistence	abstract relations>existence>being, in the abstract>inexistence	2	фраз. єдність	пусте місце, ніщо	Взяв з бублика дірку!	Іван Нехода, Хто сіє вітер, 1959, 157
Соціалістичне (комуністичне) змагання	abstract relations	existence	modal existence	state	abstract relations>existence>modal existence>state	7	фразеологізоване словосполучення	метод організації праці в соціалістичному господарстві, який заснований на поширенні досвіду передовиків виробництва і веде до підвищення продуктивності праці	За пропозицією комсомольців і комуністів колектив.. депо вирішив розпочати комуністичне змагання	Наука і життя, 2, 1959, 34
На відчепі	abstract relations	relation	absolute relation	irrelation	abstract relations>relation>absolute relation>irrelation	10	фраз. єдність	осторонь	Хата, яку так і не встиг добудувати Антон Кужель, стояла на відчепі, під самим сосновим гайком	Петро Панч, I, 1956, 226
Одне кінчати, друге починати	abstract relations	relation	absolute relation	irrelation	abstract relations>relation>absolute relation>irrelation	10	фраз. сполучення	говорити безладно, перескакуючи з одного на друге	Прокопчук — шапка на потилиці, шинеля розстебнута, лупаті очі так і виграють, так і химерять, щоб що-небудь збрехати — цілу дорогу теревенить, одне кінчає, друге починає	Григорій Тютюнник, Вир, 1964, 350
На відльоті	abstract relations	relation	absolute relation	irrelation	abstract relations>relation>absolute relation>irrelation	10	фраз. сполучення	збоку, осторонь	Був на одльоті хуторок	Іван Котляревський, I, 1952, 180
[З] одної гіллі ягоди	abstract relations	relation	absolute relation	identity	abstract relations>relation>absolute relation>identity	13	ідіома	одного походження, однакові	Адже се твій брат! Адже ви обоє з одної гіллі ягоди	Іван Франко, VII, 1951, 26
Дати намовитися	abstract relations	relation	general relation	agreement	abstract relations>relation>general relation>agreement	23	фраз. сполучення	піддатися вмовлянням	Одного разу дала [Анна] намовитися Докії	Ольга Кобилянська, II, 1956, 230
Скакати цапа	abstract relations	relation	general relation	disagreement	abstract relations>relation>general relation>disagreement	24	фраз. єдність	рішуче протидіяти чому-небудь, заперечувати щось	[Роман:] Та хоч би батько цапа скакав, а я таки женюсь на Мотрі	Карпенко-Карий, I, 1960, 396
Стригти (постригти) [всіх] під одну гребінку	abstract relations	quantity	comparative quantity	equality	abstract relations>quantity>comparative quantity>equality	27	фраз. єдність	зрівнювати всіх у якому-небудь відношенні, підводити під один рівень	Володимирові стало соромно за тих незграбних торговельників та постачальників, які за своїм бюрократичним правилом всіх людей готові постригти під одну гребінку	Микола Руденко, Вітер.., 1958, 239
[Всі] одним миром мазані	abstract relations	quantity	comparative quantity	equality	abstract relations>quantity>comparative quantity>equality	27	фраз. єдність	про людей з однаковими вадами	Що цар, що імператор — одним миром мазані	Микола Олійник, Леся, 1960, 55
На рідкість	abstract relations	quantity	comparative quantity	quantity by comparison with a standard>greatness	abstract relations>quantity>comparative quantity>quantity by comparison with a standard>greatness	31	фразеологізоване словосполучення	дуже, надзвичайно	Вона [природа] його наділила на рідкість розкішним красномовством	Михайло Стельмах, II, 1962, 161
